ID salarié,Nom,Prénom,Date de naissance,BU,Date d'embauche,Salaire brut,Type de contrat,Nombre de jours de CP,Adresse du domicile,Moyen de déplacement
20083,Jacquot,Marcel,20/5/1971,Support,12/8/2021,38870,CDI,27,"13 Bd de la Liberté, 34500 Béziers",véhicule thermique/électrique
37866,Gautier,Marine,17/1/1972,R&D,10/9/2021,50700,CDI,27,"4 avenue de la Paix, 34690 Fabrègues",Transports en commun
71190,Vallet,Andre,15/9/1977,Finance,30/6/2021,58580,CDI,26,"68 Rue du N, 34920 Le Crès",Vélo/Trottinette/Autres
57202,Martel,Louis,3/7/1984,R&D,3/9/2022,33450,CDI,26,"8 Rue Achille Bege, 34090 Montpellier",Transports en commun
27620,Hebert,William,10/3/1973,Ventes,24/3/2025,68120,CDI,25,"18 Rue des Vignes, 34970 Lattes",Vélo/Trottinette/Autres
36981,Schmitt,Jules,11/3/1999,Marketing,19/11/2024,42410,CDD,25,"47 avenue de la Gare, 34970 Lattes",Marche/running
89328,Lambert,Denise,5/9/1987,Ventes,1/7/2021,38930,CDI,29,"8 Rue de la Vieille, 34000 Montpellier",Vélo/Trottinette/Autres
50309,Lacroix,Olivie,22/9/1964,Support,5/7/2021,32520,CDI,26,"76 avenue de la Plage, 34410 Sérignan",véhicule thermique/électrique
32690,Hamon,Paul,18/5/1980,R&D,12/11/2020,36430,CDI,29,"84 Rue du Port, 34470 Pérols",Vélo/Trottinette/Autres
43861,Klein,Christine,8/3/2001,Finance,10/12/2024,43810,CDI,28,"87 avenue de la Plage, 34450 Vias",véhicule thermique/électrique
17027,Boyer,Julie,19/4/1995,Support,4/9/2022,36180,CDI,25,"place Jean Jaurès, 34000 Montpellier",Vélo/Trottinette/Autres
99401,Pons,Yves,28/2/1969,Ventes,28/11/2022,66130,CDI,29,"20 avenue de la Paix, 34690 Fabrègues",véhicule thermique/électrique
86847,Arnaud,Jeremy,13/5/1989,Support,31/3/2020,29180,CDI,28,"139 avenue des Pins, 34150 Gignac",véhicule thermique/électrique
58045,Provost,Elodie,17/6/1970,Marketing,16/11/2024,42910,CDD,27,"112 chemin des Pins, 34170 Castelnau-le-Lez",Vélo/Trottinette/Autres
53673,Ferrand,Julien,21/8/1986,Finance,26/9/2024,31700,CDI,26,"129 avenue de la Liberté, 34070 Montpellier",Vélo/Trottinette/Autres
13064,Thibault,Henriette,27/3/1972,R&D,31/7/2021,74990,CDI,26,"3 Rue de la République, 34770 Gigean",véhicule thermique/électrique
18918,Michaud,Naomie,13/9/1963,Marketing,10/8/2020,25610,CDI,27,"21 avenue du Port, 34540 Balaruc-les-Bains",véhicule thermique/électrique
51328,Albert,Adèle,28/5/2000,Support,31/7/2020,74300,CDI,25,"22 Rue de la Paix, 34130 Mauguio",Vélo/Trottinette/Autres
86633,Rodriguez,Léon,7/3/1963,Support,29/6/2022,27260,CDI,25,"140 allée des Vignes, 34280 La Grande-Motte",véhicule thermique/électrique
29200,Gosselin,Joseph,19/12/1995,Support,26/9/2022,34610,CDI,27,"21 allée Martine Carol, 34070 Montpellier",Transports en commun
43542,Pendragon,Arthur,4/8/2002,R&D,30/4/2021,47370,CDI,26,"18 Rue des Arbousiers, 34230 Bélarga",véhicule thermique/électrique
64886,De Oliveira,Nath,27/3/1961,R&D,25/10/2024,38670,CDI,29,"4 place des Écoles, 34970 Lattes",Marche/running
45140,Henry,Roger,15/9/1967,Marketing,3/11/2024,52770,CDI,25,"84 Rue des Écoles, 34980 Saint-Clément-de-Rivière",Vélo/Trottinette/Autres
44927,Fischer,Hugues,22/7/1977,Ventes,8/2/2023,62370,CDI,25,"143 Rue des Sansouïres, 34970 Lattes",Vélo/Trottinette/Autres
79837,Muller,Alphonse,10/12/1970,Ventes,26/5/2020,30360,CDI,27,"11 Lot. Mas de Combes, 34230 Popian",véhicule thermique/électrique
76903,Lemaire,Victor,30/12/1979,Finance,8/11/2020,60670,CDI,26,"260 chemin du Pompage, 34800 Canet",véhicule thermique/électrique
30351,Samson,Julien,25/3/1969,Marketing,28/12/2022,51610,CDI,28,"21 Rue de la Liberté, 34700 Soumont",véhicule thermique/électrique
20697,Cousin,Antoine,18/9/1990,Marketing,15/2/2021,37620,CDI,27,"12 Rue William et Catherine Booth, 34070 Montpellier",véhicule thermique/électrique
37830,Toussaint,Alexandre,3/1/1981,Ventes,8/7/2021,28050,CDI,26,"18 Rue des Agapanthes, 34470 Pérols",Transports en commun
34678,Mendes,Astrid,31/1/1972,Finance,1/11/2023,59520,CDI,27,"32 avenue Jean - Louis Etienne, 34740 Vendargues",véhicule thermique/électrique
54625,Paul,Christiane,18/4/1994,Support,18/11/2022,70550,CDI,27,"26 Bd de la Liberté, 34830 Clapiers",Vélo/Trottinette/Autres
70575,Munoz,Charlene,22/3/1991,R&D,22/4/2022,43520,CDI,25,"138 Rue de la République, 30600 Vauvert",véhicule thermique/électrique
66882,Leleu,Guillaume,21/1/2002,Finance,26/11/2021,43860,CDI,28,"3 Rue Tadorne, 34140 Mèze",véhicule thermique/électrique
35719,Navarro,Alain,22/2/1983,Finance,30/3/2022,32350,CDI,26,"81 avenue du Général Leclerc, 34470 Pérols",Transports en commun
28529,Lefort,Thibaut,19/1/1992,Finance,12/7/2021,25730,CDI,26,"100 Bd Victor Hugo, 34000 Montpellier",Vélo/Trottinette/Autres
60358,Lesage,Mathilde,4/9/1981,R&D,29/3/2022,44830,CDI,28,"15 Rue de la République, 34000 Montpellier",Vélo/Trottinette/Autres
50504,Fabre,Christiane,4/10/1995,Finance,4/9/2021,37910,CDI,26,"10 Rue du Marché aux Raisins, 34750 Villeneuve-lès-Maguelone",Vélo/Trottinette/Autres
56530,Morin,Francis,30/1/1977,Ventes,7/2/2022,51800,CDI,29,"124 Rue des Écoles, 34540 Balaruc-les-Bains",Transports en commun
45221,Georges,Bernard,11/9/1976,Finance,25/7/2020,34230,CDI,25,"215 Rue Alphonse Allais, 34070 Montpellier",Vélo/Trottinette/Autres
86948,Boutin,Philippine,28/10/1984,Finance,16/10/2023,73110,CDI,27,"85 avenue de la Paix, 34690 Fabrègues",Vélo/Trottinette/Autres
34899,Besson,Hugues,3/4/1971,Support,4/4/2022,72360,CDI,28,"place de la Liberté, 34470 Pérols",Marche/running
36827,Devaux,Audrey,16/7/1963,Finance,22/9/2022,39290,CDI,26,"place du Marché, 34250 Palavas-les-Flots",Vélo/Trottinette/Autres
66425,Jourdan,Thomas,17/11/1979,Marketing,30/11/2021,43530,CDI,25,"111 Rue du Ctre, 34160 Saint-Drézéry",véhicule thermique/électrique
77789,Bourgeois,Benjamin,14/1/1985,Support,3/7/2021,25570,CDI,27,"176 Bd de la Liberté, 34830 Clapiers",véhicule thermique/électrique
46158,Marchand,Martin,24/4/1960,R&D,5/11/2022,47730,CDI,26,"44 avenue de la Paix, 34690 Fabrègues",Vélo/Trottinette/Autres
34382,Payet,Capucine,18/6/1991,Marketing,4/12/2022,48430,CDI,25,"151 Bd Victor Hugo, 34000 Montpellier",Transports en commun
60141,Colin,Iris,15/10/1999,R&D,18/3/2024,74000,CDI,28,"17 Rue du Ctre, 34160 Saint-Drézéry",véhicule thermique/électrique
68454,Ribeiro,Catherine,18/1/1970,Support,3/3/2023,59240,CDI,25,"121 Rue du Marché, 34800 Clermont-l'Hérault",véhicule thermique/électrique
45725,Boulanger,Henri,7/10/1962,Ventes,18/10/2023,51630,CDI,28,"28 Rue Anatole France, 34120 Pézenas",véhicule thermique/électrique
67121,Pasquier,Claudine,27/4/1968,Finance,20/9/2020,68240,CDI,27,"Bd des Sports, 34000 Montpellier",Vélo/Trottinette/Autres
76076,Moreno,André,16/2/1981,Support,29/8/2020,74330,CDI,26,"141 Rue de la Plage, 34130 Mauguio",Vélo/Trottinette/Autres
60437,Delattre,Danielle,24/10/1968,Finance,23/9/2023,29090,CDI,27,"328 allée de l'Iliade, 34280 La Grande-Motte",véhicule thermique/électrique
33872,Poirier,Laure,3/10/1979,Ventes,7/8/2022,51020,CDI,26,"162 avenue de la Paix, 34290 Montblanc",véhicule thermique/électrique
23842,Schneider,Jules,25/7/1986,Ventes,5/4/2024,51010,CDI,29,"79 Rue des Écoles, 34920 Le Crès",Transports en commun
66386,Lacroix,Susanne,8/1/1961,Finance,15/1/2025,55310,CDI,26,"189 place des Écoles, 34970 Lattes",Marche/running
75791,Olivier,Caroline,30/5/1987,Marketing,7/7/2021,56010,CDI,27,"Rue des Écoles, 34120 Lézignan-la-Cèbe",véhicule thermique/électrique
55153,Delmas,Colette,28/8/1971,Finance,1/10/2022,42280,CDI,29,"178 Rue de la Lucques, 34150 Aniane",véhicule thermique/électrique
91916,Legrand,Margaud,13/10/1983,Finance,19/5/2020,47530,CDI,27,"72 Rue des Pins, 34470 Pérols",Vélo/Trottinette/Autres
50316,Roux,Juliette,6/11/1993,Finance,24/1/2024,64970,CDD,27,"36 Bis Rue Paul Verlaine, 34130 Mauguio",véhicule thermique/électrique
49419,Bernard,Denise,24/2/1972,Finance,1/9/2020,42530,CDI,28,"13 Bd des Sports, 34000 Montpellier",Vélo/Trottinette/Autres
30945,Grenier,Hugues,2/1/1975,Finance,7/10/2024,71640,CDI,26,"90 avenue de la Liberté, 34070 Montpellier",Vélo/Trottinette/Autres
29793,Chauvin,Marine,26/7/1970,Finance,14/9/2023,47780,CDI,29,"121 Bd des Sports, 34000 Montpellier",Transports en commun
41293,Marchand,Sabine,22/10/1996,Support,29/12/2023,55910,CDI,29,"6 Rue des Bougainvilliers, 34970 Lattes",Vélo/Trottinette/Autres
96902,Durand,Nicole,17/10/1971,Marketing,9/8/2021,45910,CDI,28,"19 Rue de l'Église, 34250 Palavas-les-Flots",Vélo/Trottinette/Autres
42472,Devaux,Charles,9/2/1997,Support,28/2/2024,26830,CDI,27,"103 Rue Joseph Guerre, 34070 Montpellier",Transports en commun
69938,Guillou,Valérie,13/12/1978,Ventes,5/6/2021,38840,CDI,26,"7 Rue Alphonse Daudet, 34470 Pérols",Vélo/Trottinette/Autres
70933,Leconte,Sébastien,27/12/1984,Ventes,17/12/2024,49630,CDI,27,"13 Rue du Marché, 34560 Montbazin",véhicule thermique/électrique
46903,Leleu,Luc,2/2/1994,Support,6/4/2022,71330,CDI,29,"57 avenue des Pins, 34130 Valergues",Vélo/Trottinette/Autres
93699,Klein,Dominique,11/2/1992,Finance,22/10/2024,51150,CDD,28,"103 allée des Pins, 34170 Castelnau-le-Lez",Transports en commun
78962,Perrot,Margot,28/6/1980,R&D,18/7/2021,48700,CDI,27,"20 Rue de la Petite Calade, 34660 Cournonterral",véhicule thermique/électrique
90813,Baudry,Gilles,15/8/1961,Support,28/3/2021,35650,CDI,29,"88 avenue de la Liberté, 34070 Montpellier",Vélo/Trottinette/Autres
31222,Gonzalez,Luc,5/8/1973,R&D,29/1/2021,56020,CDI,26,"1 Rue du Stade, 34820 Teyran",véhicule thermique/électrique
12497,Fontaine,Gabriel,3/6/1961,R&D,30/1/2023,27820,CDI,25,"Rue du N, 34920 Le Crès",Vélo/Trottinette/Autres
90207,Wagner,Andréa,2/4/1963,Marketing,21/6/2024,68430,CDI,28,"avenue de la Gare, 34540 Balaruc-les-Bains",véhicule thermique/électrique
48260,Maillet,Théodore,20/5/1973,R&D,11/5/2024,52600,CDI,29,"Rue Rosset, 34000 Montpellier",Transports en commun
46304,Pichon,Benjamin,2/8/1994,R&D,24/7/2021,72240,CDI,27,"50 Rue du Port, 34280 La Grande-Motte",véhicule thermique/électrique
73367,Verdier,Simon,11/7/1987,Marketing,5/5/2022,69840,CDI,27,"485 Anc. chemin du Moulin, 34270 Les Matelles",véhicule thermique/électrique
42328,Da Costa,Alain,14/2/1990,Support,24/3/2023,69510,CDI,25,"97 Rte de la Mer, 34400 Lunel",véhicule thermique/électrique
59804,Morin,Aurélien,10/8/1963,R&D,6/10/2021,73500,CDI,28,"13 Bis Rue des Anémones, 34000 Montpellier",Transports en commun
84603,Jean,Marcelle,20/2/1961,Support,24/9/2023,26970,CDI,25,"222 Rue Georges Bizet, 34130 Mauguio",Vélo/Trottinette/Autres
57589,Petitjean,Aurélie,6/3/1990,Finance,7/4/2024,27270,CDI,27,"75 Rue des Écoles, 34980 Saint-Clément-de-Rivière",véhicule thermique/électrique
92368,Torres,Emmanuelle,25/6/2001,Marketing,21/4/2020,74310,CDI,28,"place de la Liberté, 34470 Pérols",Vélo/Trottinette/Autres
20157,Menard,Damien,18/4/2000,Ventes,11/1/2023,50580,CDI,28,"6 place de la République, 34700 Lodève",véhicule thermique/électrique
49571,Meyer,Alfred,9/8/1960,Finance,22/5/2023,45740,CDI,26,"40 Rue Jean Jaurès, 34590 Marsillargues",véhicule thermique/électrique
41377,Faure,Emmanuelle,16/6/1998,Support,5/3/2025,52920,CDI,25,"Rue du Ctre, 34160 Saint-Drézéry",véhicule thermique/électrique
22092,Gilbert,Lucas,8/5/1984,Marketing,11/12/2023,53050,CDI,27,"77 Bd des Écoles, 34750 Villeneuve-lès-Maguelone",Vélo/Trottinette/Autres
20377,Boutin,Génée,29/11/1980,Ventes,6/6/2022,42670,CDI,26,"140 Rue du Stade, 30920 Codognan",véhicule thermique/électrique
29456,Gosselin,Capucine,13/2/2002,Ventes,18/2/2024,48130,CDI,26,"2 Rue Palladio, 34970 Lattes",Vélo/Trottinette/Autres
88193,Gomez,Daniel,24/9/1967,R&D,5/7/2022,62410,CDI,25,"194 Rue des Amours d'Antan, 34980 Saint-Gély-du-Fesc",véhicule thermique/électrique
60948,Guillot,Gégoire,31/7/1978,Ventes,2/12/2024,33130,CDD,29,"40 place des Écoles, 34970 Lattes",Marche/running
92440,Lacroix,Sébastien,13/2/1975,Marketing,27/9/2024,35320,CDD,27,"369 chemin du Thym, 34170 Castelnau-le-Lez",Transports en commun
86486,Marchand,Emmanuel,22/12/1990,Ventes,19/6/2022,37120,CDI,27,"3 allée des Cévennes, 34630 Saint-Thibéry",véhicule thermique/électrique
56263,Hernandez,William,28/2/1975,Support,23/12/2021,34090,CDI,29,"246 Rue du Boulidou, 34980 Saint-Clément-de-Rivière",véhicule thermique/électrique
59040,Lefebvre,William,20/1/1984,Finance,31/7/2023,38460,CDI,29,"9 Rue du Lierre, 34850 Pinet",véhicule thermique/électrique
29450,Lambert,Julie,14/2/1990,R&D,7/10/2023,35470,CDI,25,"36 Rue de la Condamine, 34970 Lattes",véhicule thermique/électrique
74171,Grondin,Bertrand,26/4/1988,Finance,9/12/2024,72520,CDI,29,"49 place du Marché, 34250 Palavas-les-Flots",Vélo/Trottinette/Autres
31453,Renard,Bertrand,1/6/1999,Marketing,30/5/2022,69560,CDI,29,"6 avenue des Pins, 34570 Montarnaud",véhicule thermique/électrique
53944,Lebon,Nath,26/7/1994,Support,18/5/2024,56100,CDI,29,"58 Bd Ernest Renan, 34000 Montpellier",Vélo/Trottinette/Autres
27483,Raymond,Juliette,14/6/1978,R&D,6/10/2022,55910,CDI,25,"Rue du Ctre, 34160 Saint-Drézéry",véhicule thermique/électrique
48154,Gosselin,Simone,29/10/1981,Finance,1/9/2022,65640,CDI,25,"Rue des Vignes, 34070 Montpellier",Vélo/Trottinette/Autres
79919,Dupré,Alain,23/9/1977,Support,7/10/2022,58380,CDI,28,"229 Rue Albert Camus, 34660 Cournonterral",véhicule thermique/électrique
71657,Delattre,Joseph,29/1/1966,R&D,25/2/2024,30880,CDI,29,"17 avenue de la Gare, 34770 Gigean",véhicule thermique/électrique
34922,Da Silva,Claire,16/3/1986,Ventes,22/8/2023,54170,CDI,25,"61 Rue Jean Jaurès, 34200 Sète",véhicule thermique/électrique
42234,Benard,Anais,7/12/1962,R&D,17/2/2023,46210,CDI,25,"5 Rue des Ecoles, 34830 Clapiers",Transports en commun
96558,Munoz,Suzanne,7/7/1971,Support,1/9/2022,48040,CDI,28,"179 chemin de la Rocheuse, 34170 Castelnau-le-Lez",véhicule thermique/électrique
86692,Hernandez,Marie,1/1/1961,Marketing,6/6/2022,39050,CDI,27,"90 avenue de la Plage, 34450 Vias",véhicule thermique/électrique
50866,Techer,Roger,18/4/1987,Ventes,19/2/2022,49230,CDI,25,"16 Rue des Roses, 34970 Lattes",Marche/running
35731,Morvan,Laurence,5/7/2001,Ventes,14/6/2021,63450,CDI,26,"46 Rue des Écoles, 34470 Pérols",Vélo/Trottinette/Autres
51866,Carre,Marguerite,9/6/2000,Ventes,19/10/2023,54220,CDI,25,"30 Rue des Vignes, 34970 Lattes",Marche/running
19260,Marchand,René,10/6/1961,Finance,24/8/2023,68300,CDI,26,"1 Rue de la Paix, 34130 Saint-Aunès",Transports en commun
82858,Colas,Nathalie,30/12/1970,Marketing,19/4/2023,31820,CDI,25,"125 Rue du Port, 34280 La Grande-Motte",Vélo/Trottinette/Autres
50955,Godard,Margaud,23/5/1992,Support,29/3/2022,67480,CDI,25,"99 Rue du N, 34920 Le Crès",Vélo/Trottinette/Autres
43965,Tanguy,TimothÃ©e,15/6/1986,Ventes,7/2/2024,54180,CDI,27,"100 avenue de la Gare, 34970 Lattes",Marche/running
42960,Normand,Michel,26/10/1994,Ventes,10/1/2025,26320,CDD,29,"17 Rue Maguelone, 34250 Palavas-les-Flots",Vélo/Trottinette/Autres
13780,Renard,Sylvain,29/11/1982,Finance,11/4/2024,60200,CDI,25,"56 impasse Robespierre, 34130 Mauguio",Vélo/Trottinette/Autres
18941,Guillou,Gilles,23/12/1986,Finance,27/2/2025,59910,CDI,29,"68 Bd des Écoles, 34750 Villeneuve-lès-Maguelone",Vélo/Trottinette/Autres
81676,Breton,Jeannine,24/6/1966,Ventes,22/1/2022,48430,CDI,29,"27 avenue du Général Leclerc, 34470 Pérols",Marche/running
27069,Delahaye,Philippe,10/9/1996,Support,27/11/2020,56380,CDI,29,"59 chemin des Pins, 34170 Castelnau-le-Lez",véhicule thermique/électrique
30256,Dumas,Odette,22/12/1960,Ventes,8/4/2023,45170,CDI,29,"2 Rue du Nord, 34920 Le Crès",véhicule thermique/électrique
94680,Pineau,Henri,16/11/1973,Marketing,24/1/2025,64180,CDD,26,"5 avenue de la Liberté, 34070 Montpellier",Vélo/Trottinette/Autres
