id_salarie,nom,prenom,bu_equipe,salaire_brut,nombre_cp,adresse,moyen_de_deplacement,type_sport,distance_domicile_travail
36827,Devaux,Audrey,Finance,39290,26,"place du Marché, 34250 Palavas-les-Flots",velo_trot,Tennis,10.43
34382,Payet,Capucine,Marketing,48430,25,"151 Bd Victor Hugo, 34000 Montpellier",transport,Équitation,4.92
67121,Pasquier,Claudine,Finance,68240,27,"Bd des Sports, 34000 Montpellier",velo_trot,Rugby,4.88
76076,Moreno,André,Support,74330,26,"141 Rue de la Plage, 34130 Mauguio",velo_trot,Football,10.25
23842,Schneider,Jules,Ventes,51010,29,"79 Rue des Écoles, 34920 Le Crès",transport,Voile,9.79
66386,Lacroix,Susanne,Finance,55310,26,"189 place des Écoles, 34970 Lattes",a_pied,Badminton,2.63
75791,Olivier,Caroline,Marketing,56010,27,"Rue des Écoles, 34120 Lézignan-la-Cèbe",auto_moto,Runing,70.44
55153,Delmas,Colette,Finance,42280,29,"178 Rue de la Lucques, 34150 Aniane",auto_moto,Boxe,41.2
91916,Legrand,Margaud,Finance,47530,27,"72 Rue des Pins, 34470 Pérols",velo_trot,Rugby,4.11
49419,Bernard,Denise,Finance,42530,28,"13 Bd des Sports, 34000 Montpellier",velo_trot,Natation,4.88
30945,Grenier,Hugues,Finance,71640,26,"90 avenue de la Liberté, 34070 Montpellier",velo_trot,Runing,8.68
29793,Chauvin,Marine,Finance,47780,29,"121 Bd des Sports, 34000 Montpellier",transport,Runing,4.88
41293,Marchand,Sabine,Support,55910,29,"6 Rue des Bougainvilliers, 34970 Lattes",velo_trot,Randonnée,3.84
42472,Devaux,Charles,Support,26830,27,"103 Rue Joseph Guerre, 34070 Montpellier",transport,Randonnée,12.01
69938,Guillou,Valérie,Ventes,38840,26,"7 Rue Alphonse Daudet, 34470 Pérols",velo_trot,Randonnée,3.63
70933,Leconte,Sébastien,Ventes,49630,27,"13 Rue du Marché, 34560 Montbazin",auto_moto,Tennis,37.45
46903,Leleu,Luc,Support,71330,29,"57 avenue des Pins, 34130 Valergues",velo_trot,Escalade,18.41
93699,Klein,Dominique,Finance,51150,28,"103 allée des Pins, 34170 Castelnau-le-Lez",transport,Runing,8.79
78962,Perrot,Margot,R&D,48700,27,"20 Rue de la Petite Calade, 34660 Cournonterral",auto_moto,Boxe,26.63
90813,Baudry,Gilles,Support,35650,29,"88 avenue de la Liberté, 34070 Montpellier",velo_trot,Natation,8.68
31222,Gonzalez,Luc,R&D,56020,26,"1 Rue du Stade, 34820 Teyran",auto_moto,Natation,18.57
90207,Wagner,Andréa,Marketing,68430,28,"avenue de la Gare, 34540 Balaruc-les-Bains",auto_moto,Tennis,33.38
48260,Maillet,Théodore,R&D,52600,29,"Rue Rosset, 34000 Montpellier",transport,Voile,7.58
46304,Pichon,Benjamin,R&D,72240,27,"50 Rue du Port, 34280 La Grande-Motte",auto_moto,Rugby,19.39
73367,Verdier,Simon,Marketing,69840,27,"485 Anc. chemin du Moulin, 34270 Les Matelles",auto_moto,Boxe,21.42
57589,Petitjean,Aurélie,Finance,27270,27,"75 Rue des Écoles, 34980 Saint-Clément-de-Rivière",auto_moto,Runing,15.4
92368,Torres,Emmanuelle,Marketing,74310,28,"place de la Liberté, 34470 Pérols",velo_trot,Runing,4.58
20157,Menard,Damien,Ventes,50580,28,"6 place de la République, 34700 Lodève",auto_moto,Basketball,59.19
49571,Meyer,Alfred,Finance,45740,26,"40 Rue Jean Jaurès, 34590 Marsillargues",auto_moto,Rugby,32.11
41377,Faure,Emmanuelle,Support,52920,25,"Rue du Ctre, 34160 Saint-Drézéry",auto_moto,Football,26.66
88193,Gomez,Daniel,R&D,62410,25,"194 Rue des Amours d'Antan, 34980 Saint-Gély-du-Fesc",auto_moto,Randonnée,19.76
60948,Guillot,Gégoire,Ventes,33130,29,"40 place des Écoles, 34970 Lattes",a_pied,Runing,2.63
92440,Lacroix,Sébastien,Marketing,35320,27,"369 chemin du Thym, 34170 Castelnau-le-Lez",transport,Triathlon,8.18
86486,Marchand,Emmanuel,Ventes,37120,27,"3 allée des Cévennes, 34630 Saint-Thibéry",auto_moto,Judo,57.63
56263,Hernandez,William,Support,34090,29,"246 Rue du Boulidou, 34980 Saint-Clément-de-Rivière",auto_moto,Boxe,16.81
59040,Lefebvre,William,Finance,38460,29,"9 Rue du Lierre, 34850 Pinet",auto_moto,Judo,48.26
29450,Lambert,Julie,R&D,35470,25,"36 Rue de la Condamine, 34970 Lattes",auto_moto,Randonnée,2.77
53944,Lebon,Nath,Support,56100,29,"58 Bd Ernest Renan, 34000 Montpellier",velo_trot,Natation,5.24
27483,Raymond,Juliette,R&D,55910,25,"Rue du Ctre, 34160 Saint-Drézéry",auto_moto,Badminton,26.66
34922,Da Silva,Claire,Ventes,54170,25,"61 Rue Jean Jaurès, 34200 Sète",auto_moto,Tennis,41.37
96558,Munoz,Suzanne,Support,48040,28,"179 chemin de la Rocheuse, 34170 Castelnau-le-Lez",auto_moto,Triathlon,8.05
50866,Techer,Roger,Ventes,49230,25,"16 Rue des Roses, 34970 Lattes",a_pied,Randonnée,3.45
35731,Morvan,Laurence,Ventes,63450,26,"46 Rue des Écoles, 34470 Pérols",velo_trot,Rugby,4.31
51866,Carre,Marguerite,Ventes,54220,25,"30 Rue des Vignes, 34970 Lattes",a_pied,Runing,2.67
19260,Marchand,René,Finance,68300,26,"1 Rue de la Paix, 34130 Saint-Aunès",transport,Runing,11.24
50955,Godard,Margaud,Support,67480,25,"99 Rue du N, 34920 Le Crès",velo_trot,Rugby,10.63
42960,Normand,Michel,Ventes,26320,29,"17 Rue Maguelone, 34250 Palavas-les-Flots",velo_trot,Runing,10.43
18941,Guillou,Gilles,Finance,59910,29,"68 Bd des Écoles, 34750 Villeneuve-lès-Maguelone",velo_trot,Runing,12.42
81676,Breton,Jeannine,Ventes,48430,29,"27 avenue du Général Leclerc, 34470 Pérols",a_pied,Tennis,4.2
27069,Delahaye,Philippe,Support,56380,29,"59 chemin des Pins, 34170 Castelnau-le-Lez",auto_moto,Runing,8.81
94680,Pineau,Henri,Marketing,64180,26,"5 avenue de la Liberté, 34070 Montpellier",velo_trot,Natation,8.68
